categorie,naam,beschrijving,prijs_eur,opties_keuze,opties_saus,supplementen_extra
Friet,Mini,,2.8,Met Zout / met Satékruiden / Geen zout of saté kruiden,Geen saus / Américain +€1.10 / Andalouse +€1.10 / Barbecue +€1.10 / Brazil +€1.10 / Cocktail +€1.10 / Curry +€1.10 / Curryketchup +€1.10 / Joppie +€1.10 / Look +€1.10 / Mammouth +€1.10 / Mammouth hot +€1.10 / Mayo +€1.10 / Mosterd +€1.10 / Peper +€1.10 / Pili pili +€1.10 / Samuray +€1.10 / Saus dubbel +€2.00 / Spéciaalsaus +€2.00 / Tartaar +€1.10 / Tomatenketchup +€1.10 / Truffelmayo +€1.10 / Zoete Mayo +€1.10 / Zoetzuur pikant +€1.10 | Warme saus: Stoofvlees +€5.00 / Stoofvleessaus +€3.00,
Friet,Klein,,3.2,Met Zout / met Satékruiden / Geen zout of saté kruiden,Geen saus / Américain +€1.10 / Andalouse +€1.10 / Barbecue +€1.10 / Brazil +€1.10 / Cocktail +€1.10 / Curry +€1.10 / Curryketchup +€1.10 / Joppie +€1.10 / Look +€1.10 / Mammouth +€1.10 / Mammouth hot +€1.10 / Mayo +€1.10 / Mosterd +€1.10 / Peper +€1.10 / Pili pili +€1.10 / Samuray +€1.10 / Saus dubbel +€2.00 / Spéciaalsaus +€2.00 / Tartaar +€1.10 / Tomatenketchup +€1.10 / Truffelmayo +€1.10 / Zoete Mayo +€1.10 / Zoetzuur pikant +€1.10 | Warme saus: Stoofvlees +€5.00 / Stoofvleessaus +€3.00,
Friet,Middel,,3.6,Met Zout / met Satékruiden / Geen zout of saté kruiden,Geen saus / Américain +€1.10 / Andalouse +€1.10 / Barbecue +€1.10 / Brazil +€1.10 / Cocktail +€1.10 / Curry +€1.10 / Curryketchup +€1.10 / Joppie +€1.10 / Look +€1.10 / Mammouth +€1.10 / Mammouth hot +€1.10 / Mayo +€1.10 / Mosterd +€1.10 / Peper +€1.10 / Pili pili +€1.10 / Samuray +€1.10 / Saus dubbel +€2.00 / Spéciaalsaus +€2.00 / Tartaar +€1.10 / Tomatenketchup +€1.10 / Truffelmayo +€1.10 / Zoete Mayo +€1.10 / Zoetzuur pikant +€1.10 | Warme saus: Stoofvlees +€5.00 / Stoofvleessaus +€3.00,
Friet,Groot,,4,Met Zout / met Satékruiden / Geen zout of saté kruiden,Geen saus / Américain +€1.10 / Andalouse +€1.10 / Barbecue +€1.10 / Brazil +€1.10 / Cocktail +€1.10 / Curry +€1.10 / Curryketchup +€1.10 / Joppie +€1.10 / Look +€1.10 / Mammouth +€1.10 / Mammouth hot +€1.10 / Mayo +€1.10 / Mosterd +€1.10 / Peper +€1.10 / Pili pili +€1.10 / Samuray +€1.10 / Saus dubbel +€2.00 / Spéciaalsaus +€2.00 / Tartaar +€1.10 / Tomatenketchup +€1.10 / Truffelmayo +€1.10 / Zoete Mayo +€1.10 / Zoetzuur pikant +€1.10 | Warme saus: Stoofvlees +€5.00 / Stoofvleessaus +€3.00,
Friet,Friet Julien,"Friet, stoofvleessaus, viandel, mayo, bicky-ui",10,Met Zout / met Satékruiden / Geen zout of saté kruiden,Geen saus / Américain +€1.10 / Andalouse +€1.10 / Barbecue +€1.10 / Brazil +€1.10 / Cocktail +€1.10 / Curry +€1.10 / Curryketchup +€1.10 / Joppie +€1.10 / Look +€1.10 / Mammouth +€1.10 / Mammouth hot +€1.10 / Mayo +€1.10 / Mosterd +€1.10 / Peper +€1.10 / Pili pili +€1.10 / Samuray +€1.10 / Saus dubbel +€2.00 / Spéciaalsaus +€2.00 / Tartaar +€1.10 / Tomatenketchup +€1.10 / Truffelmayo +€1.10 / Zoete Mayo +€1.10 / Zoetzuur pikant +€1.10 | Warme saus: Stoofvlees +€5.00 / Stoofvleessaus +€3.00,
Friet,Friet Rombout,"Friet, stoofvleessaus, mexicano, mayo, bicky-ui",10,Met Zout / met Satékruiden / Geen zout of saté kruiden,Geen saus / Américain +€1.10 / Andalouse +€1.10 / Barbecue +€1.10 / Brazil +€1.10 / Cocktail +€1.10 / Curry +€1.10 / Curryketchup +€1.10 / Joppie +€1.10 / Look +€1.10 / Mammouth +€1.10 / Mammouth hot +€1.10 / Mayo +€1.10 / Mosterd +€1.10 / Peper +€1.10 / Pili pili +€1.10 / Samuray +€1.10 / Saus dubbel +€2.00 / Spéciaalsaus +€2.00 / Tartaar +€1.10 / Tomatenketchup +€1.10 / Truffelmayo +€1.10 / Zoete Mayo +€1.10 / Zoetzuur pikant +€1.10 | Warme saus: Stoofvlees +€5.00 / Stoofvleessaus +€3.00,
Snack,Bami,,3.2,,,
Snack,Berenpoot,,4,,,
Snack,Bitterballen,,3.2,,,
Snack,Boulet,,3.5,,,
Snack,Boulet speciaal,,4.5,Tomaten Ketchup / Curry Ketchup,,
Snack,Frikandel XXL,,4.5,,,
Snack,Garnaalkroket,,4,,,
Snack,Goulashkroket,,3.2,,,
Snack,Grizzly,,4.5,,,
Snack,Kaaskroket,,3.2,,,
Snack,Kipcorn,,3.2,,,
Snack,Kipfingers,,4,,,
Snack,Kipnuggets,,4,,,
Snack,Kippenboutjes,,5,,,
Snack,Kipsaté,,4.5,,,
Snack,Mammoet,,3.5,,,
Snack,Mexicano,,4,,,
Snack,Mini Loempia,,4,,,
Snack,Mini Lucifers,,4,,,
Snack,Mozarellasticks,,4,,,
Snack,Ribster,,4,,,
